char,pron
後路,heu4 lu4
一年一度,yit5 ngien2 yit5 tu4
做下,zo4 ha4
薄荷,pok6 ho2
張揚,zong1 yong2
坐定定,co1 tin4 tin4
大會堂,tai4 fui4 tong2
判定,pan4 tin4
我以為,ngo1 yi1 vui2
斷線,ton1 sien4
交鋒,gau1 fung1
嘔心,iu3 sim1
陣間,cin4 gan1
推理,tui1 li1
長裙,cong2 kiun2
打包,da3 bau1
車頂,ca1 dang3
顯示卡,hien3 si4 kat6
隸屬,li4 suk6
黨鐵,dong3 tiet5
最後都,zui4 heu4 du1
幾度,gi1 tu4
樂團,ngok6 ton2
轉個頭,zon4 go4 teu2
食堂,sit6 tong2
諒解,liong4 gai3
推車,tui1 ca1
宴會,yen4 fui4
只怕,zit5 pa4
列強,liet6 kiong2
執勤,zip5 kiun2
接聽,ziap5 tang4
都係要,du1 he4 yau4
當兵,dong1 bin1
便服,pien4 fuk6
避難,pi4 lan4
應戰,yin4 zien4
保重,bau3 cung4
計落,ge4 lok6
放行,fong4 hang2
重頭,cung2 teu2
專長,zon1 cong2
冇腦,mau2 lau3
等你,den3 li3
應徵,yin4 zin1
要脅,yau1 hiap5
失靈,sit5 lin2
能成為,len2 sin2 vui2
背影,boi4 yang3
番工,fan1 gung1
調配,tiau4 pui4
定論,tin4 lun4
射精,sa4 zin1
望你,mong4 li3
驚恐,gin1 kiung3
哪些,lai4 sia1
食飽,sit6 bau3
一相情願,yit5 siong1 cin2 ngien4
比卡超,bi3 ka1 cau1
交接,gau1 ziap5
中文字,zung1 vun2 su4
美觀,mui1 gon1
有你,yiu1 li3
濕度,sip5 tu4
示好,si4 hau3
音質,yim1 zit5
清淡,cin1 tam4
兩旁,liong1 pong2
調理,tiau2 li1
成品,sin2 pin3
想食,siong3 sit6
後塵,heu4 cin4
外間,ngoi4 gan1
刻薄,ket5 pok6
唔係你,m1 he4 li3
重手,cung1 siu3
探測,tam4 cet5
多好,do1 hau3
腰間,yau1 gan1
兩場,liong1 cong2
頂唔順,din3 m1 sun4
應聲,yin4 sang1
你啲,li3 tit6
叻仔,liak6 zai3
冇諗過,mau2 lem3 go4
你有冇,li3 yiu1 mau2
毒男,tuk6 lam2
打低,da3 dai1
落馬洲,lok6 ma1 ziu1
大將,tai4 ziong1
長壽,cong2 siu4
要再,yau4 zai4
平壤,pin2 yong4
問好,mun4 hau3
好多人都,hau3 do1 ngin2 du1
或多或少,fet6 do1 fet6 sau3
宿命,suk5 min4
乜鬼,mak5 gui3
少爺,sau4 ya2
慘重,cam3 cung4
大機會,tai4 gi1 fui4
出便,cut5 pien4
解凍,gai3 dung4
打人,da3 ngin2
墊底,tiap6 dai3
巴打你,ba1 da3 li3
大少,tai4 sau4
餅乾,biang3 gon1
去旅行,hi4 li3 hang2
你問,li3 mun4
我相信,ngo1 siong1 sin4
我當,ngo1 dong4
將至,ziong1 zi4
評核,pin2 het6
佢要,gi2 yau4
校巴,gau3 ba1
你都係,li3 du1 he4
附和,fu4 fo4
使費,su3 fui4
順道,sun4 tau4
自強,cu4 kiong2
供求,giung1 kiu2
繳交,giau3 gau1
為香港,vui4 hiong1 gong3
精心,zin1 sim1
得當,det5 dong4
名言,min2 ngien2
哪怕,lai4 pa4
平庸,pin2 yung2
上圍,song4 vui2
好似都,hau3 su4 du1
中歐,zung1 iu1
淡出,tam4 cut5
翻轉,fan1 zon4
唔好意思,m1 hau3 yi4 su1
客貨車,hak5 fo4 ca1
探險,tam4 hiam3
成隊,sin2 dui4
插畫,cap5 fa4
好得,hau3 det5
兩句,liong1 gi4
散工,san3 gung1
暴走,pau4 zeu3
就應該,ciu4 yin1 goi1
產後,san3 heu4
長時,cong2 si2
稱之為,cin1 zu1 vui2
車公,ca1 gung1
食指,sit6 zi3
財仔,coi2 zai3
鮮味,sien1 mui4
拍得住,pok5 det5 cu4
臉書,liam3 su1
旁觀,pong2 gon1
五行,ng3 hang2
五行,ng3 hong2
上邊,song4 bien1
遵從,zun1 cung2
輾轉,zien3 zon3
轉乘,zon3 sin2
後樓梯,heu4 leu2 toi1
英中,yin1 zung1
倒卧,dau3 ngo4
光明正大,gong1 min2 zin4 tai4
驅使,ki1 si3
想打,siong3 da3
簡易,gan3 yi4
碌卡,luk5 kat6
日更,ngit5 gang1
愛將,oi4 ziong4
好奇心,hau4 ki2 sim1
唔好講,m1 hau3 gong3
調景嶺,tiau2 gin3 liang1
橫掂,vang2 tiam4
限度,han4 tu4
唔難,m1 lan2
將領,ziong4 liang1
青山公路,ciang1 san1 gung1 lu4
重判,cung1 pan4
冇波,mau2 bo1
趕時間,gon3 si2 gan4
你食,li3 sit6
低質,dai1 zit5
更生,gang1 sang1
打亂,da3 lon4
吶喊,nap6 ham4
任食,ngim4 sit6
茄汁,kio2 zip5
要食,yau4 sit6
排長龍,pai2 cong2 lung2
驚醒,gin1 siang3
名師,min2 su1
你諗,li3 lem3
將就,ziong1 ciu4
援交,yen1 gau1
鐵通,tiet5 tung1
都好過,du1 hau3 go4
有咩好,yiu1 me1 hau3
決勝,giet5 sin4
首推,siu3 tui1
中華民族,zung1 fa2 min2 cuk6
攤檔,tan1 dong4
講你,gong3 li3
已經冇,yi3 gin1 mau2
百分比,bak5 fun4 bi3
打殘,da3 can2
好聲,hau3 sang1
班長,ban1 zong3
你都唔,li3 du1 m1
差館,cai1 gon3
改觀,goi3 gon1
企定定,ki1 tin4 tin4
偏差,pien1 ca1
素質,su4 zit5
喇沙,la2 sa1
退後,tui4 heu4
修行,siu1 hang2
佢應該,gi2 yin1 goi1
晚市,man1 si1
被譽為,pi4 yi4 vui2
九鐵,giu3 tiet5
講乜,gong3 mak5
反差,fan3 ca1
照射,zau4 sa4
打滾,da3 gun3
我只係,ngo1 zit5 he4
報平安,bau4 pin2 on1
橫過,vang2 go4
無時無刻,vu2 si2 vu2 ket5
雙打,sung1 da3
得番,det5 fan1
好差,hau3 ca1
除非你,cu2 fui1 li3
大車,tai4 ca1
但要,tan4 yau4
參演,cam1 yen1
虐打,ngiok5 da3
兩個都,liong1 go4 du1
探親,tam4 cin1
搬遷,ban1 cien1
希望你,hi1 mong4 li3
交學費,gau1 hok6 fui4
蛇王,sa2 vong2
煞車,sat5 ca1
觀眾席,gon1 zung4 cit6
傾電話,kin1 tien4 va4
就當,ciu4 dong4
坐擁,co4 yung3
貴為,gui4 vui2
眼仔,ngan3 zai3
鮮奶,sien1 lai1
哽咽,gang3 yen1
做錯,zo4 co4
風車,fung1 ca1
可以打,ko3 yi1 da3
淡水,tam1 sui3
作畫,zok5 fa4
處處,cu3 cu3
因為有,yin1 vui4 yiu1
囚禁,ciu2 gim4
變更,bien4 gang1
長袖,cong2 ciu4
王道,vong2 tau4
攝錄,ngiap5 luk6
名正言順,min2 zin4 ngien2 sun4
並重,bin4 cung4
打印,da3 yin4
浸會大學,zim4 fui4 tai4 hok6
斷估,don4 gu3
傳訊,con2 sin4
益處,yit5 cu3
廢鐵,fui4 tiet5
樂迷,ngok6 mi2
打聽,da3 tin4
嚴禁,ngiam2 gim4
好重要,hau3 cung4 yau4
調校,tiau2 gau4
研究生,ngan3 giu4 sang1
影印,yang3 yin4
暴亂,pau4 lon4
名作,min2 zok5
厚度,heu4 tu4
鑽研,zon4 ngan3
仲諗,cung4 lem3
熟食,suk6 sit6
切斷,ciet5 ton1
你叫,li3 giau4
好氣,hau3 hi4
精通,zin1 tung1
壯觀,zong4 gon1
覺得我,gok5 det5 ngo1
相戀,siong1 lien4
平安鐘,pin2 on1 zung1
烏鴉,vu1 a1
都冇用,du1 mau2 yung4
大滿貫,tai4 man1 gon4
絕種,ciet6 zung3
中南海,zung1 lam2 hoi3
情婦,cin2 fu4
第二朝,ti4 ngi4 zau1
命案,min4 on4
車票,ca1 piau4
壞處,fai4 cu4
你見,li3 gien4
打擾,da3 yau3
烹調,pen1 tiau2
消極,siau1 kit6
我都覺得,ngo1 du1 gok5 det5
旋即,sien2 zit5
噴射,pun4 sa4
辯解,pien4 gai3
中計,zung4 ge4
怨婦,yen4 fu4
巴士司機,ba1 si3 su1 gi1
愛你,oi4 li3
臉頰,liam3 giap5
解剖,gai3 peu3
靈異,lin2 yi4
變質,bien4 zit5
裝甲車,zong1 gap5 ca1
行到,hang2 dau4
係應該,he4 yin1 goi1
波士頓,bo1 su4 un4
內定,lui4 tin4
單調,dan1 tiau4
行過,hang2 go4
鑑定,gam4 tin4
肛交,gong1 gau1
仇人,siu2 ngin2
都冇人,du1 mau2 ngin2
降級,gong4 kip5
有時間,yiu1 si2 gan4
攝影機,ngiap5 yang3 gi1
過户,go4 fu4
要靠,yau4 kau4
安好,on1 hau3
了結,liau3 giet5
無意中,vu2 yi4 zung1
我食,ngo1 sit6
吸食,kip5 sit6
糞便,bun4 pien4
身體力行,sin1 ti3 lit6 hang2
似你,su4 li3
名次,min2 cu4
轉化,zon3 fa4
奉行,fung4 hang2
家當,ga1 dong4
雕刻,diau1 kat5
人種,ngin2 zung3
咩係,me1 he4
丁屋,den1 vuk5
捱打,ngai2 da3
要諗,yau4 lem3
重點係,cung4 diam3 he4
磨練,mo2 lien4
仲有咩,cung4 yiu1 me1
記錯,gi4 co4
毒素,tuk6 su4
兩個人,liong1 go4 ngin2
以你,yi1 li3
平板,pin2 ban3
和應,fo4 yin4
相傳,siong1 con2
豐滿,fung1 man1
航拍,hong2 pok5
成功爭取,sin2 gung1 zang1 ci3
工仔,gung1 zai3
用卡,yung4 ka1
臉容,liam3 yung2
思覺失調,su1 gok5 sit5 tiau2
雙層,sung1 cen2
所作所為,so3 zok5 so3 vui2
中國籍,zung1 get5 cit6
冇講,mau2 gong3
佢好似,gi2 hau3 su4
氣泡,hi4 pau1
詞彙,cu2 fui4
辭彙,cu2 fui4
官商勾結,gon1 song1 geu1 giet5
主要係,zu3 yau4 he4
強推,kiong3 tui1
舉重,gi3 cung1
建交,gien4 gau1
講好,gong3 hau3
係好正,he4 hau3 zang4
一晚,yit5 man1
四散,si4 san4
成件事,sin2 kien4 su4
正牌,zin4 pai2
處所,cu4 so3
應該冇,yin1 goi1 mau2
為難,vui2 lan2
作嘔,zok5 iu3
調控,tiau2 kung4
大條道理,tai4 tiau2 tau4 li1
結晶,giet5 zin1
兩人,liong1 ngin2
暴風,pau4 fung1
散落,san4 lok6
成本價,sin2 bun3 ga4
嘈交,cau2 gau1
家庭主婦,ga1 tin2 zu3 fu4
行人天橋,hang2 ngin2 tien1 kiau2
音量,yim1 liong4
之處,zu1 cu3
相助,siong1 co4
耐冇,lai4 mau2
傾下,kin1 ha4
美滿,mui1 man1
長春,cong2 cun1
拆散,cak5 san4
重任,cung4 ngim4
政要,zin4 yau4
層樓,cen2 leu2
量產,liong4 san3
有巴打,yiu1 ba1 da3
讀音,tuk6 yim1
生食,sang1 sit6
成語,sin2 ngi1
正常人,zin4 song2 ngin2
打過,da3 go4
兩樣,liong1 yong4
速成,suk5 sin2
我覺得佢,ngo1 gok5 det5 gi2
做得好,zo4 det5 hau3
成行,sin2 hang2
好飲,hau3 yim3
圓滿,yen2 man1
要害,yau4 hoi4
各行各業,gok5 hong2 gok5 ngiap6
校舍,gau3 sa4
音樂劇,yim1 ngok6 kiak6
重量級,cung1 liong4 kip5
正要,zin4 yau4
輕便,kiang1 pien4
要走,yau4 zeu3
首當其衝,siu3 dong1 ki2 cung1
斷裂,ton1 liet6
從頭,cung2 teu2
靈車,lin2 ca1
消防車,siau1 fong2 ca1
兩難,liong1 lan2
齊集,ce2 sip6
多少少,do1 sau3 sau3
漂白水,piau4 pak6 sui3
斷絕,ton1 ciet6
度數,tu4 su4
後補,heu4 bu3
貨櫃車,fo4 kui4 ca1
聽從,tang4 cung2
算你,son4 li3
名堂,min2 tong2
交替,gau1 tai4
好煩,hau3 fan2
好緊,hau3 gin3
要嘅,yau4 e4
會戰,fui4 zien4
傳波,con2 bo1
顛倒,dien1 dau3
二讀,ngi4 tuk6
長篇,cong2 pien1
拍板,pok5 ban3
強求,kiong3 kiu2
出處,cut5 cu4
媳婦,sit5 fu4
摩打,mo2 da3
至極,zi4 kit6
相就,siong1 ciu4
獨處,tuk6 cu4
少男,sau4 lam2
得勝,det5 sin4
好地地,hau3 ti4 ti4
衰仔,soi1 zai3
係正常,he4 zin4 song2
要幫,yau4 bong1
以為佢,yi1 vui2 gi2
供詞,giung1 cu2
核爆,het6 bau4
轉而,zon4 yi2
調解,tiau2 gai3
乞食,ket5 sit6
攞命,lo3 miang4
最強,zui4 kiong2
上文,song4 vun2
落注,lok6 zu4
學車,hok6 ca1
户籍,fu4 cit6
白卡,pak6 kat6
行兇,hang2 hiung1
只係想,zit5 he4 siong3
大將,tai4 ziong4
正反,zin4 fan3
有朝一日,yiu1 zau1 yit5 ngit5
轉角,zon4 gok5
正直,zin4 cit6
晚裝,man1 zong1
鬼仔,gui3 zai3
貴金屬,gui4 gim1 suk6
矮仔,ai3 zai3
副學士,fu4 hok6 su4
上風,song4 fung1
食物中毒,sit6 vut6 zung4 tuk6
名副其實,min2 fu4 ki2 sit6
近似,kiun4 su4
佈滿,bu4 man1
布滿,bu4 man1
油畫,yiu2 fa4
都好多,du1 hau3 do1
橫跨,vang2 ka1
長工,cong2 gung1
東張西望,dung1 zong1 si1 mong4
禁煙,gim4 yen1
惡毒,ok5 tuk6
參照,cam1 zau4
上季,song4 gui4
乜都唔,mak5 du1 m1
聽覺,tin4 gok5
事成,su4 sin2
唔係要,m1 he4 yau4
出差,cut5 cai1
買少見少,mai1 sau3 gien4 sau3
冇癮,mau2 yin3
當係,dong4 he4
施暴,si1 pau4
轉捩點,zon3 liet6 diam3
得人驚,det5 ngin2 giang1
斷定,don4 tin4
文化中心,vun2 fa4 zung1 sim1
三次,sam1 cu4
頂替,din3 tai4
省市,sen3 si1
節食,ziet5 sit6
味覺,mui4 gok5
和音,fo4 yim1
覺得呢,gok5 det5 le1
村落,cun1 lok6
推崇,tui1 cung2
真係好難,zin1 he4 hau3 lan2
驚死,giang1 si3
重力,cung1 lit6
度日,tu4 ngit5
供奉,giung1 fung4
航行,hong2 hang2
話劇,va4 kiak6
仲有好多,cung4 yiu1 hau3 do1
冇做,mau2 zo4
不過你,but5 go4 li3
專為,zon1 vui2
觀戰,gon1 zien4
定型,tin4 hin2
勝訴,sin4 su4
我成日,ngo1 sang2 ngit5
我成日,ngo1 sin2 ngit5
兩張,liong1 zong1
打我,da3 ngo1
番去,fan1 hi4
善後,sen4 heu4
風褸,fung1 leu1
唱反調,cong4 fan3 tiau4
落班,lok6 ban1
通頂,tung1 dang3
紙張,zi3 zong1
差好遠,ca1 hau3 yen3
中轉,zung1 zon3
有兩個,yiu1 liong1 go4
訂定,dang4 tin4
好打,hau3 da3
我應該,ngo1 yin1 goi1
卷土重來,gien3 tu3 cung2 loi2
捲土重來,gien3 tu3 cung2 loi2
結盟,giet5 men2
便衣警,pien4 yi1 gin3
明晚,min2 man1
解碼,gai3 ma1
好貴,hau3 gui4
武打,vu1 da3
旁觀者,pong2 gon1 za3
避震,pi4 zin3
應得,yin1 det5
就係要,ciu4 he4 yau4
順理成章,sun4 li1 sin2 zong1
鐵塔,tiet5 tap5
昇華,sin1 fa2
影射,yang3 sa4
平心而論,pin2 sim1 yi2 lun4
疑為,ngi2 vui2
蠶食,cam2 sit6
好不容易,hau3 but5 yung2 yi4
獨食,tuk6 sit6
唔靚,m1 liang4
都好正,du1 hau3 zang4
要員,yau4 yen2
雀仔,ziok5 zai3
黑影,het5 yang3
倒掛,dau4 ga4
好了,hau3 liau3
唔成,m1 sang2
冇出,mau2 cut5
唔好用,m1 hau3 yung4
三日,sam1 ngit5
抗命,kong4 min4
歸屬感,gui1 suk6 gam3
吃香,ket5 hiong1
全校,cien2 gau3
解密,gai3 mit6
微不足道,mi2 but5 zuk5 tau4
都食,du1 sit6
有咩用,yiu1 me1 yung4
服食,fuk6 sit6
攝錄機,ngiap5 luk6 gi1
着想,cok6 siong3
研製,ngan3 ze4
搬運,ban1 yun4
大致上,tai4 zi4 song4
領導層,liang1 tau3 cen2
為個,vui4 go4
宣讀,sien1 tuk6
打緊,da3 gin3
理你,li1 li3
撈飯,lau1 fan4
要留,yau4 liu2
交通警,gau1 tung1 gin3
巴士線,ba1 si3 sien4
巴士專線,ba1 si3 zon1 sien4
都冇得,du1 mau2 det5
好多次,hau3 do1 cu4
斯里蘭卡,su1 li1 lan2 ka1
原地踏步,ngien2 ti4 tap6 pu4
通行證,tung1 hang2 zin4
朋友仔,pen2 yiu1 zai3
中看,zung1 kon4
驚奇,gin1 ki2
佢食,gi2 sit6
冇手,mau2 siu3
好日,hau3 ngit5
水質,sui3 zit5
上唔到,song4 m1 dau4
冰鮮,ben1 sien1
成點,sin2 diam3
未驚過,vui4 giang1 go4
搬龍門,ban1 lung2 mun2
三公,sam1 gung1
當權,dong1 kien2
一定唔會,yit5 tin4 m1 fui4
疏遠,so1 yen3
習近平,sip6 kiun4 pin2
閒聊,han2 liau2
墜落,cui4 lok6
防毒,fong2 tuk6
別處,piet6 cu3
真係唔好,zin1 he4 m1 hau3
點解佢,diam3 gai3 gi2
富士山,fu4 su4 san1
微調,mi2 tiau2
從來都,cung2 loi2 du1
供不應求,giung1 but5 yin4 kiu2
論調,lun4 tiau4
晚報,man1 bau4
其實呢,ki2 sit6 le1
地質,ti4 zit5
段落,ton4 lok6
守行為,siu3 hang2 vui2
扑頭,pok5 teu2
量化,liong4 fa4
迴旋,fui2 sien2
為人民,vui4 ngin2 min2
從新,cung2 sin1
打好,da3 hau3
貪靚,tam1 liang4
供水,giung1 sui3
着火,cok6 fo3
面相,mien4 siong4
平靚正,piang2 liang4 zang4
保鮮紙,bau3 sien1 zi3
流行曲,liu2 hang2 kiuk5
好好多,hau3 hau3 do1
要個,yau4 go4
你應該,li3 yin1 goi1
都唔錯,du1 m1 co4
已經夠,yi3 gin1 geu4
當堂,dong1 tong2
打掃,da3 sau4
失禁,sit5 gim4
逐出,cuk6 cut5
誤差,ngu4 ca1
精簡,zin1 gan3
核對,het6 dui4
毒打,tuk6 da3
所以你,so3 yi1 li3
張卡,zong1 ka1
咩要,me1 yau4
學下,hok6 ha4
坐大,co4 tai4
頂到,din3 dau4
打去,da3 hi4
百花齊放,bak5 fa1 ce2 fong4
搞搞震,gau3 gau3 zin3
到嘔,dau4 iu3
直通車,cit6 tung1 ca1
驚佢,giang1 gi2
要死,yau4 si3
期滿,ki2 man1
冷落,lang1 lok6
成形,sin2 hin2
落幕,lok6 mok5
升讀,sin1 tuk6
珠三角,zu1 sam1 gok5
鎮定,zin3 tin4
正數,zin4 su4
新近,sin1 kiun4
擠塞,zi4 set5
裂縫,liet6 fung2
就係因為,ciu4 he4 yin1 vui4
長安,cong2 on1
唔到你,m1 dau4 li3
應該點,yin1 goi1 diam3
錯處,co4 cu3
柔道,yiu2 tau4
你聽,li3 tang4
潛伏期,ciam2 fuk6 ki2
心結,sim1 giet5
惡果,ok5 go3
奢華,ca1 fa2
斷斷續續,ton1 ton1 suk6 suk6
成功感,sin2 gung1 gam3
件衫,kien4 sam1
好似你,hau3 su4 li3
想你,siong3 li3
勝任,sin1 ngim4
結伴,giet5 pan4
考核,kau3 het6
要問,yau4 mun4
假定,ga3 tin4
後宮,heu4 giung1
正印,zin4 yin4
走難,zeu3 lan4
伏線,fuk6 sien4
之後都,zu1 heu4 du1
平方,pin2 fong1
爛仔,lan4 zai3
聽電話,tang4 tien4 va4
接電話,ziap5 tien4 va4
月中,ngiet6 zung1
貴婦,gui4 fu4
掃射,sau4 sa4
正本,zin4 bun3
戒毒,gai4 tuk6
自以為是,cu4 yi1 vui2 si4
好死,hau3 si3
賤種,cien4 zung3
讀緊,tuk6 gin3
精密,zin1 mit6
反送中,fan3 sung4 zung1
交情,gau1 cin2
以為你,yi1 vui2 li3
防震,fong2 zin3
手推車,siu3 tui1 ca1
平成,pin2 sin2
雜種,cap6 zung3
布丁,bu4 den1
落到,lok6 dau4
佢已經,gi2 yi3 gin1
你識,li3 sit5
重臨,cung2 lim2
聽下,tang4 ha4
集齊,sip6 ce2
換轉,von4 zon4
打消,da3 siau1
打火機,da3 fo3 gi1
封頂,fung1 dang3
精髓,zin1 sui3
食慾,sit6 yuk6
之後再,zu1 heu4 zai4
好諗,hau3 lem3
如估要,yi2 gu3 yau4
如果要,yi2 go3 yau4
拼圖,pin4 tu2
六日,luk5 ngit5
好好笑,hau3 hau3 siau4
所以要,so3 yi1 yau4
啱聽,ngam1 tang4
聯交所,lien2 gau1 so3
直屬,cit6 suk6
伏筆,fuk6 bit5
膳食,sien4 sit6
層出不窮,cen2 cut5 but5 kiung2
重讀,cung2 tuk6
聽佢,tang4 gi2
秋後算帳,ciu1 heu4 son4 zong4
秋後算賬,ciu1 heu4 son4 zong4
滿佈,man1 bu4
三個月,sam1 go4 ngiet6
成敗,sin2 pai4
影響到,yang3 hiong3 dau4
他朝,ta1 zau1
正比,zin4 bi3
生命力,sang1 min4 lit6
暴躁,pau4 cau4
最正,zui4 zang4
經緯,gin1 vui3
多時間,do1 si2 gan4
散場,san4 cong2
量刑,liong4 hin2
長方形,cong2 fong1 hin2
唔好比,m1 hau3 bi3
唔撈,m1 lau1
守將,siu3 ziong4
人心惶惶,ngin2 sim1 fong2 fong2
醜惡,ciu3 ok5
都好好,du1 hau3 hau3
人道毀滅,ngin2 tau4 fui3 miet6
打磨,da3 mo2
嘅感覺,e4 gam3 gok5
難看,lan2 kon4
相擁,siong1 yung3
更加唔,gen4 ga1 m1
好多年,hau3 do1 ngien2
壞話,fai4 va4
你最,li3 zui4
等下,den3 ha4
又好似,yiu4 hau3 su4
重逢,cung2 fung2
我驚,ngo1 giang1
相好,siong1 hau3
我覺得係,ngo1 gok5 det5 he4
你隻,li3 zak5
輕重,kiang1 cung1
喻為,yi4 vui2
打中,da3 zung4
個人覺得,go4 ngin2 gok5 det5
道友,tau4 yiu1
只限於,zit5 han4 yi1
參展,cam1 zien3
冇時,mau2 si2
惡作劇,ok5 zok5 kiak6
實話,sit6 va4
中旬,zung1 sun2
要放,yau4 fong4
車資,ca1 zu1
心淡,sim1 tam1
消磨,siau1 mo2
重病,cung1 piang4
強弱,kiong2 ngiok6
順應,sun4 yin4
調停,tiau2 tin2
中港台,zung1 gong3 toi2
挖角,vat5 gok5
請你,ciang3 li3
長青,cong2 ciang1
三大,sam1 tai4
答你,dap5 li3
中巴,zung1 ba1
冇到,mau2 dau4
共處,kiung4 cu4
憑藉,pin2 cit6
相聚,siong1 ci4
執照,zip5 zau4
應該都係,yin1 goi1 du1 he4
條命,tiau2 miang4
要收,yau4 siu1
牽強,kien1 kiong3
少數民族,sau3 su4 min2 cuk6
推卸,tui1 sia4
左上,zo3 song4
一兩個,yit5 liong1 go4
惋惜,van3 sit5
選定,sien3 tin4
擊落,git5 lok6
好嗎,hau3 ma3
行得,hang2 det5
要事,yau4 su4
真係好好,zin1 he4 hau3 hau3
志同道合,zi4 tung2 tau4 hap6
點打,diam3 da3
之後我,zu1 heu4 ngo1
參拜,cam1 bai4
重擊,cung1 git5
糾結,giu3 giet5
應考,yin4 kau3
修長,siu1 cong2
成條,sang2 tiau2
係驚,he4 giang1
邊度有,bien1 tu4 yiu1
冇理,mau2 li1
曲解,kiuk5 gai3
晚晚,man1 man1
除名,cu2 min2
奠定,tien4 tin4
皺紋,zeu4 vun2
定向,tin4 hiong4
保鮮,bau3 sien1
我一定,ngo1 yit5 tin4
外相,ngoi4 siong4
一瞬間,yit5 sun4 gan1
拼搏,pin4 bok5
只准,zit5 zun3
愛丁堡,oi4 den1 bau3
行出,hang2 cut5
可能要,ko3 len2 yau4
腸道,cong2 tau4
慌張,fong1 zong1
要塞,yau4 soi4
輸打贏要,su1 da3 yang2 yau4
就係你,ciu4 he4 li3
兩隊,liong1 dui4
要改,yau4 goi3
頂頭,din3 teu2
應市,yin4 si1
自己諗,cu4 gi3 lem3
要素,yau4 su4
斷氣,ton1 hi4
坐牢,co4 lau2
講兩句,gong3 liong1 gi4
利淡,li4 tam4
玩味,van4 mui4
好大機會,hau3 tai4 gi1 fui4
諗諗,lem3 lem3
精美,zin1 mui1
就近,ciu4 kiun4
準備好,zun3 pi4 hau3
信你,sin4 li3
係靚,he4 liang4
打拼,da3 pin4
好傾,hau3 kin1
點都要,diam3 du1 yau4
唔聽,m1 tang4
本末倒置,bun3 mat6 dau3 zi4
間屋,gan1 vuk5
張力,zong1 lit6
有冇諗,yiu1 mau2 lem3
量力而為,liong4 lit6 yi2 vui2
凹凸,ngiap5 tut6
卡士,ka1 si3
行善,hang2 sen4
真係好正,zin1 he4 hau3 zang4
無能為力,vu2 len2 vui2 lit6
夜更,ya4 gang1
錯漏,co4 leu4
覺醒,gok5 siang3
核酸,het6 son1
好市,hau3 si1
滿面,man1 mien4
取經,ci3 gin1
係讀,he4 tuk6
散心,san4 sim1
怕怕,pa4 pa4
執生,zip5 sang1
點解可以,diam3 gai3 ko3 yi1
強心針,kiong2 sim1 zim1
較好,gau4 hau3
少啲,sau3 tit6
相等,siong1 den3
勝地,sin4 ti4
對質,dui4 zit5
有需要,yiu1 si1 yau4
月結單,ngiet6 giet5 dan1
一意孤行,yit5 yi4 gu1 hang2
中坑,zung1 hang1
電話卡,tien4 va4 kat6
好低,hau3 dai1
拳打腳踢,kien2 da3 giok5 tiak5
不曾,but5 cen2
年齡層,ngien2 lin2 cen2
傍身,pong2 sin1
中傷,zung4 song1
不如你,but5 yi2 li3
好客,hau4 hak5
身後事,sin1 heu4 su4
影衰,yang3 soi1
填滿,tien2 man1
感應器,gam3 yin4 hi4
當政,dong1 zin4
好小,hau3 siau3
富户,fu4 fu4
餵食,vui4 sit6
胞弟,bau1 ti4
冷處理,lang1 cu4 li1
投資銀行,teu2 zu1 ngiun2 hong2
憤青,fun3 ciang1
提款卡,ti2 kan3 kat6
都聽,du1 tang4
要對,yau4 dui4
中化,zung1 fa4
殘暴,can2 pau4
三圍,sam1 vui2
醒你,siang3 li3
暴斃,pau4 bi4
探病,tam4 piang4
三峽,sam1 hiap6
手無寸鐵,siu3 vu2 cun4 tiet5
之後又,zu1 heu4 yiu4
好耐冇,hau3 lai4 mau2
兩件,liong1 kien4
大家唔好,tai4 ga1 m1 hau3
冇見,mau2 gien4
必經,bit5 gin1
係最好,he4 zui4 hau3
幕後黑手,mok5 heu4 het5 siu3
冰毒,ben1 tuk6
平方公里,pin2 fong1 gung1 li1
要唔要,yau4 m1 yau4
皺眉,zeu4 mi2
錦上路,gim3 song4 lu4
繞道,ngiau3 tau4
好悶,hau3 mun4
正係,zin4 he4
拖車,to1 ca1
交功課,gau1 gung1 ko4
斷言,ton4 ngien2
一層,yit5 cen2
青春期,ciang1 cun1 ki2
禮拜六,li1 bai4 luk5
喪生,song4 sang1
聽力,tin4 lit6
倒米,dau3 mi3
施行,si1 hang2
係唔係應該,he4 m1 he4 yin1 goi1
打從,da3 cung2
行去,hang2 hi4
拍掌,pok5 zong3
想聽,siong3 tang4
冇啦,mau2 la1
咩意思,me1 yi4 su1
跟從,gen1 cung2
冇所謂,mau2 so3 vui4
隆重,lung2 cung4
保平安,bau3 pin2 on1
好簡單,hau3 gan3 dan1
家中,ga1 zung1
淡然,tam4 yen2
都好難,du1 hau3 lan2
影壇,yang3 tan2
好買,hau3 mai1
好些,hau3 sia1
實冇,sit6 mau2
箇中,go4 zung1
少主,sau4 zu3
已經唔係,yi3 gin1 m1 he4
要學,yau4 hok6
成隻,sang2 zak5
路經,lu4 gin1
轉嫁,zon3 ga4
唔好諗,m1 hau3 lem3
最後都係,zui4 heu4 du1 he4
大個仔,tai4 go4 zai3
好廢,hau3 fui4
太好,tai4 hau3
中印,zung1 yin4
都係冇,du1 he4 mau2
逆行,ngiak6 hang2
