char,pron
被袋,pi1 döi2
背褡,bi1 dap2
背心,bui1 säm1
短褲,düng2 fu1
牛頭褲,ngäu4 täu4 fu1
褲腳,fu1 gök2
褲襠,fu1 nong6
開襠褲,fui1 nong6 fu1
開襠褲,fui1 long6 fu1
衫袋,sam1 döi2
啪紐,bæk2 näu2
扣針,käu1 zäm1
帽仔,mäu6 zäi2
草帽,cäu2 mäu6
拖鞋,to1 hai4
水鞋,söi2 hai4
鞋墊,hai4 ding1
長筒鞋,cöng4 tung2 hai4
手襪,säu1 mæk6
手巾仔,säu2 gäng6 zäi2
頸巾,geng2 gäng1
口水肩,häu2 söi2 ging1
圍裙,wäi4 kwäng2
兜肚,däu2 tu1
尿布,niu6 bu1
燙斗,tong1 däu2
肚餓,du2 ngo6
麵粉,ming6 fäng2
冷飯,læng1 fæng6
臭餿,cäu1 säu1
臭宿,cäu1 suk2
米水,mäi1 söi2
粥飲,zuk2 yäm2
飯焦,fæng6 ziu1
喫飯,hek2 fæng6
頸渴,geng2 fuk2
飲水,yäm2 söi2
飲酒,yäm2 zäu2
米酒,mäi1 zäu2
白酒,bæk6 zäu2
黃酒,wong4 zäu2
糯米酒,no6 mäi1 zäu2
酒糟,zäu2 zäu1
夷茶,yi4 ca4
煙仔,ying1 zäi2
喫煙,hek2 ying1
煙灰,ying1 fui1
早飯,zäu2 fæng6
喫早飯,hek2 zäu2 fæng6
晏晝,æng1 zäu2
喫晏晝,hek2 æng1 zäu2
晚飯,mæng6 fæng6
吃晚飯,hek2 mæng6 fæng6
舀飯,yiu1 fæng6
豬肉,zü1 yuk6
瘦肉,säu1 yuk6
臘肉,lap6 yuk6
豬手,zü1 säu2
豬腳,zü1 gök2
豬肝,zü1 gwung1
豬潤,zü1 yäng2
豬脷,zü1 li2
豬血,zü1 hung4
雞下水,gäi1 ha6 söi2
鉗餸,kim4 sung1
撈飯,läu6 fæng6
豆腐乾,däu6 fu6 gwung1
豆腐,däu6 fu6
豆腐花,däu6 fu6 fa1
豆腐霉,däu2 fu2 mui4
萊絲,löi4 si1
粉仔,fäng2 zäi2
打思噎,da2 si1 yik2
打思噫,da2 si2 yik2
雪糕,sük2 gäu1
雪條,sük2 tiu2
雪糕條,sük2 gäu1 tiu2
水餃,söi2 gau2
