id,language,glyph,pron
224,waitau,門楔,mung4 sip2
224,hakka,楔仔,siap5 zai3
225,waitau,竹棒,zuk2 pang1
225,hakka,竹檳子,zuk5 bin1 zai3
226,hakka,點麥,diam4 mak6
227,waitau,發芽,fak2 nga4
227,hakka,暴芽,bau4 nga2
227,hakka,吥芽,but6 nga2
228,waitau,掌牛,zöng2 ngäu4
228,hakka,掌牛,zong3 ngiu2
229,waitau,斬柴,zam2 cai4
229,waitau,劈柴,pek2 cai4
229,waitau,破柴,po1 cai4
229,hakka,剁柴,dok6 cai2
230,waitau,投墟,täu4 hü1
230,hakka,投墟,teu2 hi1
231,waitau,入城,yäp6 seng2
231,waitau,出城,cäk2 seng2
231,hakka,出墟,cut5 hi1
232,waitau,網魚,mong6 yü4
232,hakka,網魚,miong3 ng2
233,waitau,捉魚,zuk2 yü2
233,hakka,捉魚,zuk5 ng2
234,waitau,作壩,zok2 ba1
234,hakka,作陂頭,zok5 bi1 teu2
235,waitau,作壆,zok2 bok2
235,hakka,作河壆,zok5 ho2 bok5
236,waitau,乾塘,gwung1 tong4
236,hakka,乾塘,gon1 tong2
237,waitau,戽水,fu1 söi2
237,hakka,戽水,fu4 sui3
238,waitau,磨米,mo4 mäi1
238,waitau,壓米,ngak2 mäi1
238,hakka,絞米,gau3 mi3
239,waitau,菜園,cöi1 yüng4
239,hakka,菜園,coi4 yen2
240,waitau,種菜,zung1 cöi2
240,hakka,種菜,zung4 coi4
241,waitau,淋菜,läm4 cöi1
241,hakka,淋菜,lim2 coi2
242,waitau,劏魚,tong1 yü4
242,hakka,劏魚,tong1 ng2
243,waitau,劏雞,tong1 gäi1
243,waitau,𠜎雞,sing1 gäi1
243,hakka,劏雞,tong1 gai1
244,waitau,劏豬,tong1 zü1
244,hakka,劏豬,tong1 zu1
245,waitau,養雞,yöng1 gäi1
245,hakka,養雞,yong1 gai1
246,waitau,養豬,yöng1 zü1
246,hakka,養豬,yong1 zu1
247,waitau,做嘢,zu6 ya1
247,hakka,做東西,zo4 dung1 si1
247,hakka,做事,zo4 se4
248,waitau,糴米,dek6 mäi1
248,hakka,打米,da3 mi3
249,waitau,買豬肉,mai1 zü1 yuk6
249,hakka,買肉,mai1 ngiuk5
250,waitau,洗米,säi2 mäi1
250,hakka,洗米,se3 mi1
251,waitau,煮飯,zü2 fæng6
251,hakka,煮飯,zu3 fan4
252,waitau,焗飯,guk6 fæng6
252,hakka,燜飯,mun1 fan4
253,waitau,煮餸,zü2 sung1
253,hakka,煮菜,zu3 coi4
254,waitau,燉,däng6
254,hakka,炆,mun1
255,waitau,煠,sap6
255,hakka,煠,sap6
256,waitau,煲湯,bäu1 tong1
256,hakka,煲順,bau1 sun4
257,waitau,滾湯,gwäng2 tong1
257,hakka,淥順,luk5 sun4
258,waitau,潟,se2
258,hakka,湓,pun2
259,waitau,盪碗,long1 wung2
259,waitau,洗碗,säi2 wung2
259,hakka,盪碗,long1 von3
260,waitau,抹,mæk2
260,hakka,抹,mat5
261,waitau,執拾,zap2 säp6
261,hakka,撿,giam3
262,waitau,養,yöng1
262,waitau,供養,gung1 yöng1
262,hakka,養,yong1
263,waitau,掌屋,zöng2 uk2
263,waitau,掌門口,zöng2 mung4 häu2
263,hakka,掌屋,zong3 vuk5
264,waitau,聯,lüng4
264,hakka,聯,lien2
265,waitau,浪,long2
265,hakka,洗衫,se3 sam1
266,waitau,晾衫,long6 sam1
266,waitau,晾燥,long6 zau1
266,hakka,晾燥,lang2 zau1
267,waitau,聯,lüng4
267,hakka,聯,lien2
268,waitau,聯,lüng4
268,hakka,聯,lien2
269,waitau,繑,kiu1
269,hakka,縈,yang1
270,waitau,煲,bäu1
270,hakka,煮,zu3
271,waitau,裝,zong4
271,hakka,入,ngip6
272,waitau,焫,nak2
272,hakka,淥,luk6
273,waitau,火燭,fo2 zuk2
273,hakka,火燒屋,fo3 sau1 vuk5
273,hakka,火燭,fo3 zuk5
274,waitau,烏,wu1
274,hakka,烏,vu2
275,waitau,出力,cäk2 läk6
275,hakka,出力,cut5 lit6
276,waitau,安,wung1
276,hakka,斣,deu4
277,waitau,整,zäng2
277,hakka,整,zin3
278,waitau,整,zäng2
278,hakka,整,zin3
279,waitau,執,zäp2
279,hakka,撿瓦背,giam3 nga3 boi4
280,waitau,揀,gæng2
280,hakka,擇,tok6
281,waitau,湊,cäu1
281,hakka,存,sun2
282,waitau,焙,bui6
282,hakka,炕,kong4
283,waitau,拔,bäk2
283,hakka,熏,hiun1
284,waitau,醃,yip2
284,hakka,醃,yap5
285,waitau,攤凍,tæng1 dung1
285,hakka,攤,tang1
286,waitau,禾,wo4
286,hakka,禾,vo2
287,waitau,穀,guk2
287,hakka,穀,guk5
288,waitau,禾,wo4
288,hakka,禾串,vo2 con4
289,waitau,泛穀,pæng1 guk2
289,hakka,泛穀,pang4 guk5
290,waitau,米,mäi1
290,hakka,米,mi3
291,waitau,糯米,no6 mäi1
291,hakka,糯米,lo4 mi3
292,waitau,粘米,zim1 mäi1
292,hakka,粘米,zam1 mi3
293,waitau,麥,mak6
293,hakka,麥,mak6
294,waitau,米仔,mäi1 zäi2
294,waitau,狗尾粟,gäu2 mi1 suk2
294,hakka,狗尾粟,geu3 mui1 suk5
